sym,side,open,close,p0,p_exit,vwap_entry,peak,bal0,size_pct,build_s,dur,open_fills,close_fills,adds,adds_worse,pre5,pre30,mae,mfe,pnl,fee,net,ret,day_pnl_before,prev_same_net,prev_same_gap,hour,date
SKHYNIX-USDT-SWAP,long,2026-07-07 13:06:19,2026-07-07 13:07:05,1383.94,1387.13,276.7896,276.7896,2935.82580615,9.42799805833773,1.0,0.7666666666666667,6,8,5,0,,-0.7159664830119428,0.0,0.24712053990778582,3.2126200000000003,-1.19830589,2.01431411,0.7277419780222956,27.04489453,3.216832430000001,9.25,13,2026-07-07
SKHYNIX-USDT-SWAP,short,2026-07-07 14:04:24,2026-07-07 14:05:23,1455.67,1450.04,291.1324270109235,293.170354,2937.8401202699997,9.979111932512392,0.0,0.9833333333333333,2,7,1,0,,,-0.0,0.39706801678951464,5.66978995,-1.46301689,4.20677306,1.434924439870206,29.059208639999998,2.01431411,57.31666666666667,14,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 14:46:21,2026-07-07 15:02:18,13.924,13.753,27.346635714285714,782.25825377,2942.0468934,26.588911805752254,850.0,15.95,22,18,21,19,,,-3.138465958058023,0.0,22.64099991,-3.2707494999999995,19.37025041,2.4761963605557877,33.2659817,6.914240459999999,396.81666666666666,14,2026-07-07
LAB-USDT-SWAP,short,2026-07-07 18:09:46,2026-07-07 18:14:37,11.99,12.172,24.40937333333333,732.2812,3008.53673592,24.340111631579298,61.0,4.85,12,18,11,10,,,-2.768974145120917,-0.0,10.28799993,-3.656262,6.63173793,0.9056272276278566,52.63623211,19.37025041,187.46666666666667,18,2026-07-07
LAB-USDT-SWAP,short,2026-07-07 18:15:07,2026-07-07 18:25:16,12.308,13.361,25.60216102236422,4006.7382,3015.16847392,132.8860471531419,504.0,10.15,53,34,52,52,0.040640494188393106,2.6522101751459415,-8.555411114722133,-0.0,-874.20800012,-16.788747999999995,-890.9967481199999,-22.23745859212863,59.26797004000002,6.63173793,0.5,18,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 18:25:26,2026-07-07 18:28:09,13.314,13.601,13.314000000000005,3108.819,3124.9486139600003,99.48384386584966,1.0,2.716666666666667,13,146,12,0,2.9300347893312706,11.042535446205171,0.0,2.3659305993690705,693.2899999999996,-22.10837800000001,671.1816219999996,21.589601131490756,-831.7287780799999,-890.9967481199999,0.16666666666666666,18,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 18:31:52,2026-07-07 18:32:25,13.532,13.671,13.54225811965812,792.2221,3796.13023596,20.869202339146188,0.0,0.55,46,22,45,0,-0.7117176608702036,12.860717264386977,0.0,1.0715341412947055,76.95499992,-7.347064699999998,69.60793522,8.786416740961911,-160.54715608000026,671.1816219999996,3.716666666666667,18,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 18:33:38,2026-07-07 18:35:27,13.438,13.219,13.184974778141056,2822.9031,3865.73817126,73.02364968706357,92.0,1.8166666666666667,20,132,19,15,-0.6946497191841483,12.076730608840712,-2.597112665575241,0.007441583568978949,95.80199933999992,-19.880787899999994,75.92121143999992,2.689472813997757,-90.93922086000026,69.60793522,1.2166666666666666,18,2026-07-07
LAB-USDT-SWAP,short,2026-07-07 18:36:23,2026-07-07 18:36:33,13.08,12.858,13.07721052631579,447.2406,3941.65938336,11.346505532366862,0.0,0.16666666666666666,21,43,20,0,-3.340230564587643,9.090909090909083,-0.0,1.7737003058103884,76.84199983000002,-4.120160999999999,72.72183883000002,16.26011565810439,-15.01800942000034,75.92121143999992,0.9333333333333333,18,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 19:01:11,2026-07-07 19:03:16,10.343,10.077,20.01032432432432,592.3056,4014.38122236,14.754592730278656,43.0,2.0833333333333335,6,11,5,4,,-23.56636121785398,-5.0372232427728925,0.0,22.12999993,-2.3787946,19.75120533,3.3346308611635616,57.703829409999685,72.72183883000002,24.633333333333333,19,2026-07-07
